,word,color,response,reaction_time,is_correct,time
164,BLUE,yellow,yellow,1199.0,True,"Apr 02, 2025 08:52 AM"
165,RED,yellow,yellow,1460.0,True,"Apr 02, 2025 08:52 AM"
166,RED,yellow,yellow,1312.0,True,"Apr 02, 2025 08:52 AM"
167,RED,yellow,yellow,1247.0,True,"Apr 02, 2025 08:52 AM"
168,YELLOW,red,yellow,1899.0,False,"Apr 02, 2025 08:52 AM"
169,RED,green,green,12051.0,True,"Apr 02, 2025 08:52 AM"
170,BLUE,blue,blue,5383.0,True,"Apr 02, 2025 08:52 AM"
171,YELLOW,blue,yellow,106.0,False,"Apr 02, 2025 08:52 AM"
172,GREEN,green,green,3306.0,True,"Apr 02, 2025 08:52 AM"
173,GREEN,green,green,2413.0,True,"Apr 02, 2025 08:52 AM"
174,YELLOW,green,green,2604.0,True,"Apr 02, 2025 08:52 AM"
175,GREEN,red,red,2705.0,True,"Apr 02, 2025 08:52 AM"
176,YELLOW,red,red,2644.0,True,"Apr 02, 2025 08:52 AM"
177,BLUE,green,blue,1897.0,False,"Apr 02, 2025 08:52 AM"
178,BLUE,yellow,blue,1081.0,False,"Apr 02, 2025 08:52 AM"
179,RED,yellow,yellow,2728.0,True,"Apr 02, 2025 08:52 AM"
180,GREEN,yellow,green,1529.0,False,"Apr 02, 2025 08:52 AM"
181,RED,yellow,yellow,1179.0,True,"Apr 02, 2025 08:52 AM"
182,GREEN,yellow,yellow,1824.0,True,"Apr 02, 2025 08:52 AM"
183,YELLOW,red,red,2013.0,True,"Apr 02, 2025 08:53 AM"
184,BLUE,yellow,yellow,4405.0,True,"Apr 02, 2025 08:53 AM"
185,RED,yellow,yellow,1990.0,True,"Apr 02, 2025 08:53 AM"
186,GREEN,blue,blue,1867.0,True,"Apr 02, 2025 08:53 AM"
187,BLUE,green,green,2403.0,True,"Apr 02, 2025 08:53 AM"
188,GREEN,red,red,1775.0,True,"Apr 02, 2025 08:53 AM"
189,GREEN,yellow,yellow,2460.0,True,"Apr 02, 2025 08:53 AM"
190,BLUE,blue,red,3622.0,False,"Apr 02, 2025 08:53 AM"
191,GREEN,red,red,1995.0,True,"Apr 02, 2025 08:53 AM"
192,RED,red,red,12323.0,True,"Apr 02, 2025 08:53 AM"
193,RED,blue,red,5254.0,False,"Apr 02, 2025 08:53 AM"
194,BLUE,blue,blue,1652.0,True,"Apr 02, 2025 08:53 AM"
195,YELLOW,red,yellow,2547.0,False,"Apr 02, 2025 08:53 AM"
196,RED,red,red,3451.0,True,"Apr 02, 2025 08:53 AM"
197,BLUE,red,blue,1245.0,False,"Apr 02, 2025 08:53 AM"
198,BLUE,green,green,2771.0,True,"Apr 02, 2025 08:53 AM"
199,RED,yellow,yellow,2813.0,True,"Apr 02, 2025 08:53 AM"
200,YELLOW,blue,blue,2081.0,True,"Apr 02, 2025 08:53 AM"
201,YELLOW,yellow,yellow,2022.0,True,"Apr 02, 2025 08:53 AM"
202,GREEN,green,green,1983.0,True,"Apr 02, 2025 08:53 AM"
203,YELLOW,green,green,5130.0,True,"Apr 02, 2025 08:53 AM"
204,GREEN,red,red,2062.0,True,"Apr 02, 2025 08:53 AM"
205,BLUE,blue,blue,1856.0,True,"Apr 02, 2025 08:53 AM"
206,RED,green,green,1896.0,True,"Apr 02, 2025 08:53 AM"
207,BLUE,blue,blue,2658.0,True,"Apr 02, 2025 08:53 AM"
208,BLUE,yellow,yellow,4253.0,True,"Apr 02, 2025 08:53 AM"
209,GREEN,yellow,yellow,1880.0,True,"Apr 02, 2025 08:53 AM"
210,GREEN,yellow,yellow,1796.0,True,"Apr 02, 2025 08:53 AM"
211,GREEN,green,green,2500.0,True,"Apr 02, 2025 08:53 AM"
212,RED,yellow,yellow,2398.0,True,"Apr 02, 2025 08:53 AM"
213,GREEN,blue,blue,1792.0,True,"Apr 02, 2025 08:53 AM"
214,BLUE,yellow,yellow,2164.0,True,"Apr 02, 2025 08:53 AM"
215,GREEN,yellow,yellow,1958.0,True,"Apr 02, 2025 08:53 AM"
216,GREEN,yellow,yellow,1568.0,True,"Apr 02, 2025 08:53 AM"
217,RED,yellow,yellow,4040.0,True,"Apr 02, 2025 08:53 AM"
218,RED,red,red,1656.0,True,"Apr 02, 2025 08:53 AM"
219,RED,red,red,944.0,True,"Apr 02, 2025 08:53 AM"
220,YELLOW,green,green,2695.0,True,"Apr 02, 2025 08:53 AM"
221,BLUE,yellow,yellow,1809.0,True,"Apr 02, 2025 08:53 AM"
222,RED,blue,blue,1763.0,True,"Apr 02, 2025 08:53 AM"
223,BLUE,yellow,yellow,7416.0,True,"Apr 02, 2025 08:53 AM"
224,BLUE,yellow,yellow,1463.0,True,"Apr 02, 2025 08:53 AM"
225,YELLOW,green,green,1803.0,True,"Apr 02, 2025 08:53 AM"
226,YELLOW,green,green,1710.0,True,"Apr 02, 2025 08:53 AM"
227,GREEN,blue,blue,2667.0,True,"Apr 02, 2025 08:53 AM"
228,GREEN,red,red,2095.0,True,"Apr 02, 2025 08:53 AM"
229,RED,yellow,yellow,1629.0,True,"Apr 02, 2025 08:54 AM"
230,GREEN,yellow,yellow,1596.0,True,"Apr 02, 2025 08:54 AM"
231,BLUE,red,red,2590.0,True,"Apr 02, 2025 08:54 AM"
232,YELLOW,red,red,1938.0,True,"Apr 02, 2025 08:54 AM"
233,YELLOW,red,red,2330.0,True,"Apr 02, 2025 08:54 AM"
234,YELLOW,yellow,yellow,1494.0,True,"Apr 02, 2025 08:54 AM"
235,YELLOW,green,green,1597.0,True,"Apr 02, 2025 08:54 AM"
236,YELLOW,red,red,1553.0,True,"Apr 02, 2025 08:54 AM"
237,BLUE,red,red,1365.0,True,"Apr 02, 2025 08:54 AM"
238,BLUE,blue,blue,1595.0,True,"Apr 02, 2025 08:54 AM"
239,YELLOW,green,green,1214.0,True,"Apr 02, 2025 08:54 AM"
240,YELLOW,yellow,yellow,1808.0,True,"Apr 02, 2025 08:54 AM"
241,YELLOW,green,blue,3644.0,False,"Apr 02, 2025 08:54 AM"
242,YELLOW,blue,blue,1544.0,True,"Apr 02, 2025 08:54 AM"
243,GREEN,red,red,1879.0,True,"Apr 02, 2025 08:54 AM"
244,GREEN,blue,red,4033.0,False,"Apr 02, 2025 08:54 AM"
245,GREEN,yellow,yellow,2561.0,True,"Apr 02, 2025 08:54 AM"
246,RED,red,red,1201.0,True,"Apr 02, 2025 08:54 AM"
247,RED,green,green,1713.0,True,"Apr 02, 2025 08:54 AM"
248,YELLOW,blue,blue,1458.0,True,"Apr 02, 2025 08:54 AM"
249,GREEN,blue,red,1313.0,False,"Apr 02, 2025 08:54 AM"
250,RED,green,green,1585.0,True,"Apr 02, 2025 08:54 AM"
251,RED,yellow,yellow,1404.0,True,"Apr 02, 2025 08:54 AM"
252,GREEN,yellow,green,3358.0,False,"Apr 02, 2025 08:54 AM"
253,YELLOW,blue,yellow,3745.0,False,"Apr 02, 2025 08:57 AM"
254,BLUE,yellow,yellow,1732.0,True,"Apr 02, 2025 08:57 AM"
